,RegionID,SizeRank,Region Name,Region Type,State Name,Date Recorded,Median Sale Price,city,state_name,lat,lng
98214,395169,56,"Tulsa, OK",msa,Oklahoma,2023-01-31,207250.0,Tulsa,Oklahoma,36.1283,-95.9042
98215,394619,57,"Fresno, CA",msa,California,2023-01-31,362667.0,Fresno,California,36.783,-119.7939
98216,395238,58,"Worcester, MA",msa,Massachusetts,2023-01-31,358000.0,Worcester,Massachusetts,42.2705,-71.8079
98217,394938,59,"Omaha, NE",msa,Nebraska,2023-01-31,239333.0,Omaha,Nebraska,41.2627,-96.0529
98218,394415,60,"Bridgeport, CT",msa,Connecticut,2023-01-31,474600.0,Bridgeport,Connecticut,41.1918,-73.1954
98219,394653,61,"Greenville, SC",msa,South Carolina,2023-01-31,268333.0,Greenville,South Carolina,34.8354,-82.3646
98220,394312,62,"Albuquerque, NM",msa,New Mexico,2023-01-31,304833.0,Albuquerque,New Mexico,35.1054,-106.6465
98221,394357,63,"Bakersfield, CA",msa,California,2023-01-31,313000.0,Bakersfield,California,35.3529,-119.0359
98222,394308,64,"Albany, NY",msa,New York,2023-01-31,270033.0,Albany,New York,42.6664,-73.7987
98223,394753,65,"Knoxville, TN",msa,Tennessee,2023-01-31,291633.0,Knoxville,Tennessee,35.9692,-83.9496
98224,394367,66,"Baton Rouge, LA",msa,Louisiana,2023-01-31,229667.0,Baton Rouge,Louisiana,30.442,-91.1311
98225,394843,67,"McAllen, TX",msa,Texas,2023-01-31,191667.0,McAllen,Texas,26.2252,-98.2467
98226,394908,68,"New Haven, CT",msa,Connecticut,2023-01-31,281667.0,New Haven,Connecticut,41.3113,-72.9246
98227,394561,69,"El Paso, TX",msa,Texas,2023-01-31,217167.0,El Paso,Texas,31.8476,-106.43
98228,394318,70,"Allentown, PA",msa,Pennsylvania,2023-01-31,266000.0,Allentown,Pennsylvania,40.5961,-75.4756
98229,394952,71,"Oxnard, CA",msa,California,2023-01-31,760000.0,Oxnard,California,34.1964,-119.1815
98230,394486,72,"Columbia, SC",msa,South Carolina,2023-01-31,223333.0,Columbia,South Carolina,34.0378,-80.9036
98231,753906,73,"North Port, FL",msa,Florida,2023-01-31,415833.0,North Port,Florida,27.0576,-82.1977
98232,845158,74,"Dayton, OH",msa,Ohio,2023-01-31,155400.0,Dayton,Ohio,39.7805,-84.2003
98233,394457,75,"Charleston, SC",msa,South Carolina,2023-01-31,367250.0,Charleston,South Carolina,32.8168,-79.9687
98234,394648,76,"Greensboro, NC",msa,North Carolina,2023-01-31,212667.0,Greensboro,North Carolina,36.0956,-79.8271
98235,395134,77,"Stockton, CA",msa,California,2023-01-31,473833.0,Stockton,California,37.9765,-121.3109
98236,394440,78,"Cape Coral, FL",msa,Florida,2023-01-31,309650.0,Cape Coral,Florida,26.6443,-81.9957
98238,394484,80,"Colorado Springs, CO",msa,Colorado,2023-01-31,416967.0,Colorado Springs,Colorado,38.8674,-104.7605
98239,394798,81,"Little Rock, AR",msa,Arkansas,2023-01-31,193333.0,Little Rock,Arkansas,34.7256,-92.3577
98240,394766,82,"Lakeland, FL",msa,Florida,2023-01-31,290150.0,Lakeland,Florida,28.0557,-81.9545
98241,394304,83,"Akron, OH",msa,Ohio,2023-01-31,156650.0,Akron,Ohio,41.0798,-81.5219
98242,394531,84,"Des Moines, IA",msa,Iowa,2023-01-31,219500.0,Des Moines,Iowa,41.5725,-93.6105
98243,395115,85,"Springfield, MA",msa,Massachusetts,2023-01-31,273667.0,Springfield,Massachusetts,42.1155,-72.5395
98244,845159,86,"Poughkeepsie, NY",msa,New York,2023-01-31,281233.0,Poughkeepsie,New York,41.695,-73.9211
98245,394931,87,"Ogden, UT",msa,Utah,2023-01-31,423833.0,Ogden,Utah,41.2279,-111.9682
98246,394816,88,"Madison, WI",msa,Wisconsin,2023-01-31,323333.0,Madison,Wisconsin,43.0822,-89.393
98248,394528,90,"Deltona, FL",msa,Florida,2023-01-31,308167.0,Deltona,Florida,28.905,-81.2137
98249,395143,91,"Syracuse, NY",msa,New York,2023-01-31,181500.0,Syracuse,New York,43.0407,-76.1437
98250,395006,92,"Provo, UT",msa,Utah,2023-01-31,480691.0,Provo,Utah,40.2457,-111.6457
98251,395160,93,"Toledo, OH",msa,Ohio,2023-01-31,126500.0,Toledo,Ohio,41.6638,-83.5827
98252,395224,94,"Wichita, KS",msa,Kansas,2023-01-31,209327.0,Wichita,Kansas,37.6895,-97.3443
98253,394549,95,"Durham, NC",msa,North Carolina,2023-01-31,352833.0,Durham,North Carolina,35.9792,-78.9022
98254,394352,96,"Augusta, GA",msa,Georgia,2023-01-31,217167.0,Augusta,Georgia,33.3645,-82.0708
98255,394957,97,"Palm Bay, FL",msa,Florida,2023-01-31,314483.0,Palm Bay,Florida,27.9631,-80.6593
98256,394711,98,"Jackson, MS",msa,Mississippi,2023-01-31,215650.0,Jackson,Mississippi,32.3157,-90.2125
98257,394666,99,"Harrisburg, PA",msa,Pennsylvania,2023-01-31,216500.0,Harrisburg,Pennsylvania,40.2752,-76.8843
98258,395113,100,"Spokane, WA",msa,Washington,2023-01-31,353333.0,Spokane,Washington,47.6671,-117.433
98259,395075,101,"Scranton, PA",msa,Pennsylvania,2023-01-31,175733.0,Scranton,Pennsylvania,41.4044,-75.6649
98260,394460,102,"Chattanooga, TN",msa,Tennessee,2023-01-31,256250.0,Chattanooga,Tennessee,35.066,-85.2481
98261,394871,103,"Modesto, CA",msa,California,2023-01-31,415000.0,Modesto,California,37.6375,-121.0028
98262,394768,104,"Lancaster, PA",msa,Pennsylvania,2023-01-31,279983.0,Lancaster,Pennsylvania,40.042,-76.3012
98263,394997,105,"Portland, ME",msa,Maine,2023-01-31,402500.0,Portland,Maine,43.6773,-70.2715
98264,395245,106,"Youngstown, OH",msa,Ohio,2023-01-31,119900.0,Youngstown,Ohio,41.0993,-80.6463
98265,394770,107,"Lansing, MI",msa,Michigan,2023-01-31,167854.0,Lansing,Michigan,42.7142,-84.5601
98266,394590,108,"Fayetteville, AR",msa,Arkansas,2023-01-31,305983.0,Fayetteville,Arkansas,36.0714,-94.1661
98267,394589,109,"Fayetteville, NC",msa,North Carolina,2023-01-31,198167.0,Fayetteville,North Carolina,35.085,-78.9772
98268,394792,110,"Lexington, KY",msa,Kentucky,2023-01-31,261833.0,Lexington,Kentucky,38.0423,-84.4587
98269,394971,111,"Pensacola, FL",msa,Florida,2023-01-31,266667.0,Pensacola,Florida,30.4413,-87.1911
98270,395068,112,"Santa Rosa, CA",msa,California,2023-01-31,732583.0,Santa Rosa,California,38.4458,-122.7067
98271,395019,113,"Reno, NV",msa,Nevada,2023-01-31,490000.0,Reno,Nevada,39.5497,-119.8483
98272,394698,114,"Huntsville, AL",msa,Alabama,2023-01-31,274983.0,Huntsville,Alabama,34.6981,-86.6412
98273,394995,115,"Port St. Lucie, FL",msa,Florida,2023-01-31,349333.0,Port St. Lucie,Florida,27.2796,-80.3884
98274,394761,116,"Lafayette, LA",msa,Louisiana,2023-01-31,192333.0,Lafayette,Louisiana,30.2082,-92.0325
98275,394898,117,"Myrtle Beach, SC",msa,South Carolina,2023-01-31,273333.0,Myrtle Beach,South Carolina,33.7094,-78.8844
98276,395116,118,"Springfield, MO",msa,Missouri,2023-01-31,232792.0,Springfield,Missouri,37.1943,-93.2916
98277,395195,119,"Visalia, CA",msa,California,2023-01-31,316500.0,Visalia,California,36.3276,-119.3269
98278,394746,120,"Killeen, TX",msa,Texas,2023-01-31,244667.0,Killeen,Texas,31.0753,-97.7297
98279,394338,121,"Asheville, NC",msa,North Carolina,2023-01-31,356833.0,Asheville,North Carolina,35.5707,-82.5537
98280,395244,122,"York, PA",msa,Pennsylvania,2023-01-31,212333.0,York,Pennsylvania,39.9651,-76.7315
98281,395183,123,"Vallejo, CA",msa,California,2023-01-31,560000.0,Vallejo,California,38.1125,-122.2342
98282,753917,124,"Santa Maria, CA",msa,California,2023-01-31,763333.0,Santa Maria,California,34.9333,-120.4431
98283,395050,125,"Salinas, CA",msa,California,2023-01-31,791650.0,Salinas,California,36.6883,-121.6317
98284,395048,126,"Salem, OR",msa,Oregon,2023-01-31,403333.0,Salem,Oregon,44.9233,-123.0244
98285,394870,127,"Mobile, AL",msa,Alabama,2023-01-31,178167.0,Mobile,Alabama,30.6782,-88.1162
98286,395015,128,"Reading, PA",msa,Pennsylvania,2023-01-31,200483.0,Reading,Pennsylvania,40.34,-75.9267
98287,394502,129,"Corpus Christi, TX",msa,Texas,2023-01-31,242567.0,Corpus Christi,Texas,27.7254,-97.3767
98288,394421,130,"Brownsville, TX",msa,Texas,2023-01-31,231657.0,Brownsville,Texas,25.9975,-97.458
98289,394820,131,"Manchester, NH",msa,New Hampshire,2023-01-31,398344.0,Manchester,New Hampshire,42.9848,-71.4447
98290,394612,132,"Fort Wayne, IN",msa,Indiana,2023-01-31,199509.0,Fort Wayne,Indiana,41.0888,-85.1436
98291,394658,133,"Gulfport, MS",msa,Mississippi,2023-01-31,197795.0,Gulfport,Mississippi,30.4274,-89.0704
98293,394596,135,"Flint, MI",msa,Michigan,2023-01-31,159300.0,Flint,Michigan,43.0236,-83.6921
98294,394972,136,"Peoria, IL",msa,Illinois,2023-01-31,124250.0,Peoria,Illinois,40.752,-89.6154
98295,394439,137,"Canton, OH",msa,Ohio,2023-01-31,145617.0,Canton,Ohio,40.8078,-81.3676
98296,395070,138,"Savannah, GA",msa,Georgia,2023-01-31,286333.0,Savannah,Georgia,32.0286,-81.1821
98297,394372,140,"Beaumont, TX",msa,Texas,2023-01-31,178137.0,Beaumont,Texas,30.0849,-94.1451
